Cleanup ID,Zone,State,Country,GPS,Cleanup Type,Cleanup Date,Group Name,Adults,Children,People,Pounds,Miles,# of bags,Cigarette butts,"Food wrappers (candy, chips, etc.)",Food containers (plastic),Food containers (foam),Bottle caps (plastic),Bottle caps (metal),Lids (plastic),Straws/stirrers (plastic),Utensils (plastic),Beverage bottles (plastic),Beverage bottles (glass),Beverage cans,Grocery bags (plastic),Other bags (plastic),Paper bags,"Cups, Plates (paper)","Cups, Plates (plastic)","Cups, Plates (foam)","Fishing buoys, pots & traps",Fishing net & pieces,"Lines, nets, traps, ropes, etc.",Fishing line (1 yard/meter = 1 piece),Fishing gear (Clean Swell),6-Pack holders,Other plastic/foam packaging,Foam dock pieces,"Other plastic bottles (oil, bleach, etc.)",Strapping bands,Other packaging (Clean Swell),Beverage sachets/pouches,"Appliances (refrigerators, washers, etc.)",Balloons,Cigar tips,Cigarette lighters,Tobacco packaging/wrap,"Tobacco products (lighters, cigar tips, wrap)",Foam packaging,Construction materials,Fireworks,Tires,Toys,Other trash (Clean Swell),Clothing,"Electronic waste (phones, batteries)",Condoms,Diapers,Syringes,Footwear (shoes/slippers),Tampons & applicators,Personal hygiene (Clean Swell),Gloves & masks (PPE),Foam pieces,Glass pieces,Plastic pieces,Plastic/foam pieces,Other plastic waste,Cotton bud sticks (swabs),Total Items Collected
250755,"San Mateo County, CA, USA","California, USA",United States,"37.53154104, -122.28620884",beach,11/2/2022,Meadows,1,0,1,0.732,0.436749,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
251982,"San Mateo County, CA, USA","California, USA",United States,"37.53156211, -122.28587744",beach,11/16/2022,Meadows,1,0,1,0.011,0.438047,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
252964,"San Mateo County, CA, USA","California, USA",United States,"37.53178435, -122.28138874",beach,11/30/2022,Meadows,1,0,1,0.738,0.500285,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
251324,"San Mateo County, CA, USA","California, USA",United States,"37.579510633689, -122.36030372801",beach,11/8/2022,Carey 1Z,1,0,1,0.061,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
251325,"San Mateo County, CA, USA","California, USA",United States,"37.579607008999, -122.36018967501",beach,11/8/2022,Carey 4K,1,0,1,6.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251176,"San Mateo County, CA, USA","California, USA",United States,"37.580699608696, -122.47571376164",beach,11/6/2022,,1,0,1,0.502,0.0,0,8,8,0,0,0,0,0,2,0,2,0,0,2,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
251177,"San Mateo County, CA, USA","California, USA",United States,"37.580839949671, -122.47559970532",beach,11/6/2022,,1,0,1,0.502,1.112702,0,8,8,0,0,0,0,0,2,0,2,0,0,2,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
251776,"San Mateo County, CA, USA","California, USA",United States,"37.581265254145, -122.47862242497",beach,11/13/2022,,1,0,1,12.688,0.010448,0,20,11,4,0,2,1,4,3,0,4,0,0,0,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,6,25,0,139
251803,"San Mateo County, CA, USA","California, USA",United States,"37.5854761, -122.4968827",beach,11/14/2022,Pacifica beach coaltion TN APES,1,0,1,1.3,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251805,"San Mateo County, CA, USA","California, USA",United States,"37.5854761, -122.4968827",beach,11/14/2022,Pacifica beach coaltion TN APES,1,0,1,2.2,2.14,0,24,8,0,0,2,4,2,4,1,1,3,1,0,2,0,6,0,2,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,75
