"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
257525,"San Francisco County, San Francisco, CA, USA","California, USA","United States","37.787592808924, -122.46543408962",land,,2023-01-16,"Stinnette Family",4,,4,26.792,0.2611697593324,,1,5,1,,,1,3,4,6,3,1,,,2,10,,,1,,,,8,,,,,4,,2,,,,1,,1,13,10,,,,1,,,15,,,,,,,,,,,,,,,,,,93
257526,"Alameda County, CA, USA","California, USA","United States","37.86458476, -122.30508719",land,,2023-01-16,,2,,2,77.032,0.41638895499906,,3,3,1,3,,,,2,,,,,1,2,5,,1,,,,,27,,,1,,1,1,1,,,,1,,2,2,13,1,,,1,,,32,,,,,,,,,,,,,,,,,,104
257529,"Los Angeles County, CA, USA","California, USA","United States","34.0356343, -118.5359079",land,,2023-01-16,,6,,6,21,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257533,"Ventura County, CA, USA","California, USA","United States","34.2804923, -119.2945199",land,,2023-01-16,,1,,1,13.5,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257534,"Los Angeles County, CA, USA","California, USA","United States","33.3878856, -118.4163103",watercraft,,2023-01-16,,1,,1,22.5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257537,"Los Angeles County, CA, USA","California, USA","United States","33.978465199502, -118.46652240503",land,,2023-01-16,"kevin calvert",1,,1,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257538,"Alameda County, CA, USA","California, USA","United States","37.674712417647, -121.78190264851",land,,2023-01-16,"Friends of the Arroyos 6",1,,1,28,0.3,,3,3,1,3,2,,,,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
257541,"San Bernardino County, CA, USA","California, USA","United States","34.108016931468, -117.66928859272",land,,2023-01-16,"Molly Loves Trash",1,,1,0.568,0,,1,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,8
257542,"Los Angeles County, CA, USA","California, USA","United States","34.01342472, -118.47833689",land,,2023-01-16,PBC,1,,1,3.237,1.2825008387007,,1,1,1,3,,4,1,4,8,,1,,,,18,,8,3,,,,,,,,,1,1,1,,,,,,,,11,,,,1,,,,,,,,,,,,,,,,,,,,,68
257543,"Mendocino County, CA, USA","California, USA","United States","39.1267616, -123.7178921",land,,2023-01-16,"Noyo Center for Marine Science",1,,1,1.233,0,,,,1,1,,,2,,,,,,,,3,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,10
257544,"San Mateo County, CA, USA","California, USA","United States","37.589209721872, -122.49883681116",land,,2023-01-16,"Pacifica beach coalition",2,,2,5.725,0.071504665336055,,,1,1,1,2,1,,2,4,,,,,,4,,1,4,,,,1,,,,,,,1,,,1,3,,,5,4,,,,1,,,,,,,,,,,,,,,,,,,,,37
257550,"Monterey County, CA, USA","California, USA","United States","36.586714773473, -121.86794548307",land,,2023-01-17,"carolyn alone at sunrise",1,,1,1.054,0,,,,,1,,,,2,1,,,,,,5,,1,,,,,,,,10,,,1,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,52
257554,"Los Angeles County, CA, USA","California, USA","United States","33.978424840638, -118.4665239976",land,,2023-01-16,"kevin calvert",1,,1,18.849,4.3000573909284,,2,5,3,9,7,7,4,21,19,12,29,17,5,7,25,9,17,8,,,,1,,1,2,2,1,1,4,,,2,3,2,14,3,1,,,,10,,,38,,,,,,,,,,,,,,,,,,291
257555,"Alameda County, CA, USA","California, USA","United States","37.565375364228, -122.03106586009",land,,2023-01-17,,2,,2,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257570,"Los Angeles County, CA, USA","California, USA","United States","33.918238920191, -118.40737072762",land,,2023-01-17,"Green Wings-LAX",3,,3,50,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257571,"Los Angeles County, CA, USA","California, USA","United States","33.918238920191, -118.40737072762",land,,2023-01-17,"Green Wings-LAX",2,,2,60,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257572,"Los Angeles County, CA, USA","California, USA","United States","33.9564194, -118.4422317",land,,2023-01-17,"Green Wings-LAX",2,,2,60,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257590,"Alameda County, CA, USA","California, USA","United States","37.530648231362, -121.95871507402",land,,2023-01-17,,2,,2,7.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257591,"Alameda County, CA, USA","California, USA","United States","37.676745657809, -121.78674981929",land,,2023-01-17,"Friends of the Arroyos 6",1,,1,32,0.2,,5,3,2,11,4,,,6,,4,1,2,,,,2,,5,,,,1,,,1,1,,,10,,,5,1,2,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,77
257592,"Los Angeles County, CA, USA","California, USA","United States","34.124986786456, -118.47719258332",land,,2023-01-17,"Milken 5",5,,5,1.69,0.060527597594324,,,,,,,,,,6,,4,,3,1,1,1,1,4,,,,,,1,2,4,1,1,,,,,,,,,,1,,,,1,,4,,,,,,,,,,,,,,,,,,36
257593,"San Mateo County, CA, USA","California, USA","United States","37.588862249478, -122.46832631938",land,,2023-01-17,PBC,1,,1,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257611,"San Mateo County, CA, USA","California, USA","United States","37.654282390663, -122.49135182041",land,,2023-01-18,"PBC Esplanade Beach",1,,1,0.32,0,,,,,1,1,,,,,1,,2,1,,1,3,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,16
257731,"San Diego County, CA, USA","California, USA","United States","32.79634188398, -117.22391489904",watercraft,,2023-01-18,,1,,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
